x,y
6.964691855978616175e+00,2.078142032761708791e+01
2.861393349503794425e+00,8.985036357943346985e+00
2.268514535642030872e+00,8.291450773142383213e+00
5.513147690828912317e+00,1.446898758786409900e+01
7.194689697855630506e+00,1.983155234831668068e+01
4.231064601244609591e+00,1.321995105415838623e+01
9.807641983846155043e+00,2.595109635006897264e+01
6.848297385848632679e+00,1.964563503175897452e+01
4.809319014843609352e+00,1.285564320750440892e+01
3.921175181941505272e+00,1.041216071915889607e+01
3.431780161508694249e+00,1.058297089343424346e+01
7.290497073840416675e+00,1.962290153694299732e+01
4.385722446796243901e+00,1.317794986840807425e+01
5.967789660956834830e-01,1.609637070022849503e+00
3.980442553304314401e+00,1.222091809163720022e+01
7.379954057320357030e+00,2.222852828511634371e+01
1.824917304534999785e+00,6.242592476192315054e+00
1.754517561474925325e+00,6.113607606815187445e+00
5.315513738418383483e+00,1.513242393375690042e+01
5.318275870968660612e+00,1.350610910878822146e+01
6.344009585513211036e+00,1.790094127553527414e+01
8.494317940777895259e+00,2.165146705673196692e+01
7.244553248606352192e+00,1.946923944301683918e+01
6.110235106775828484e+00,1.796988340662256078e+01
7.224433825702215373e+00,1.917291099937547472e+01
3.229589138531782311e+00,1.017497203798337502e+01
3.617886556223140815e+00,1.155490763372294793e+01
2.282632308789556141e+00,7.629573456850690327e+00
2.937140463888293418e+00,7.946092383645046553e+00
6.309761238544878026e+00,1.720842287608106247e+01
9.210493994507518156e-01,5.570152572537508284e+00
4.337011726795282129e+00,1.092249270659022820e+01
4.308627633296437942e+00,1.225094027214815462e+01
4.936850976503062149e+00,1.360044098406716806e+01
4.258302902958279290e+00,1.244235514787340691e+01
3.122612229724652799e+00,1.010510306806141578e+01
4.263513069628082519e+00,1.364573544848784792e+01
8.933891631171347214e+00,2.381854316432104213e+01
9.441600182038795808e+00,2.595387351907844575e+01
5.018366758843365361e+00,1.464570901300055006e+01
6.239529517921111434e+00,1.767830163310021874e+01
1.156183950792957216e+00,4.139320731761215733e+00
3.172854818203209248e+00,8.834279870487302233e+00
4.148262119536317627e+00,1.119062080874423692e+01
8.663091578833659767e+00,2.275257917956484732e+01
2.504553653965067017e+00,8.218733395605648084e+00
4.830342642627043048e+00,1.438461612107027143e+01
9.855597856107049637e+00,2.659776971855314187e+01
5.194851192598093803e+00,1.424796390453864170e+01
6.128945257629676568e+00,1.846713923202016971e+01
1.206286659903237357e+00,5.930809148663325203e+00
8.263408005068331619e+00,2.207531992247068686e+01
6.030601284109273763e+00,1.611775808548465250e+01
5.450680064664648938e+00,1.543087212498799765e+01
3.427638337743084129e+00,1.128293476040119181e+01
3.041207890271841130e+00,9.569231707482895644e+00
4.170222110247015834e+00,1.257079423954557562e+01
6.813007657927966143e+00,1.856285504699941313e+01
8.754568417951748671e+00,2.395143776104115219e+01
5.104223374780111122e+00,1.569619399811518790e+01
6.693137829622722634e+00,1.824110954887463620e+01
5.859365525622129312e+00,1.646306000006162051e+01
6.249035020955998831e+00,1.752564073362970021e+01
6.746890509878248565e+00,1.879420655931244966e+01
8.423424376202572006e+00,2.162904983964945060e+01
8.319498833243876845e-01,2.278379783611853782e+00
7.636828414433382228e+00,1.997634697934598336e+01
2.436663745368740308e+00,7.926013199743185744e+00
1.942229605787708646e+00,6.998658947271841235e+00
5.724569574914730730e+00,1.558688428946792826e+01
9.571251661238711073e-01,5.194618901603523575e+00
8.853268262751395667e+00,2.371862987741754125e+01
6.272489720512687050e+00,1.739747709986941970e+01
7.234163581899547779e+00,1.963023785830674228e+01
1.612920669501682891e-01,2.210451601572752445e+00
5.944318794450424548e+00,1.712437624536094205e+01
5.567851923942886749e+00,1.615215256018707990e+01
1.589596441447227448e+00,4.955252751130396760e+00
1.530705151247730988e+00,6.745693899302149354e+00
6.955295287709109431e+00,1.821221705333123708e+01
3.187664263818763555e+00,9.732542270819399377e+00
6.919702955318197013e+00,1.877974012947761295e+01
5.543832497177721308e+00,1.472038790108951289e+01
3.889505741231445768e+00,1.136366788269954853e+01
9.251324896139861309e+00,2.423566122171573411e+01
8.416699969127162007e+00,2.280007571743874806e+01
3.573975666831762155e+00,1.095740793605489927e+01
4.359146379904055291e-01,3.967330090154630895e+00
3.047680734110974399e+00,9.565109210179368660e+00
3.981856819179809825e+00,1.116566177570566509e+01
7.049588304513622283e+00,1.901067491270837451e+01
9.953584820340173778e+00,2.669594453574208615e+01
3.559148657174595609e+00,1.067264030650620832e+01
7.625478137854337923e+00,2.193136675921858370e+01
5.931769165622212014e+00,1.764570525786109556e+01
6.917017987001771395e+00,1.870539622651061862e+01
1.511274523480802268e+00,5.039272606153046397e+00
3.988762927261565672e+00,9.626263634899625998e+00
2.408558977236245013e+00,7.282261112432836470e+00
3.434560140483249313e+00,9.503954186340695998e+00
