x,y
6.964691855978616175e+00,1.906156637615962168e+01
2.861393349503794425e+00,4.625261231783337479e+00
2.268514535642030872e+00,1.192858938701665572e+01
5.513147690828912317e+00,8.610384831556718410e+00
7.194689697855630506e+00,1.695139601955202835e+01
4.231064601244609591e+00,1.227728387005844723e+01
9.807641983846155043e+00,2.561327094317434216e+01
6.848297385848632679e+00,8.777816122768452800e+00
4.809319014843609352e+00,9.120064824042191987e+00
3.921175181941505272e+00,1.234410966697092427e+01
3.431780161508694249e+00,3.679992606972183111e+00
7.290497073840416675e+00,2.625838917793026894e+01
4.385722446796243901e+00,1.514021056092053996e+01
5.967789660956834830e-01,6.207454616838550265e-01
3.980442553304314401e+00,1.054964405676046724e+01
7.379954057320357030e+00,2.945770576245998384e+01
1.824917304534999785e+00,1.094223551571908715e+01
1.754517561474925325e+00,7.987389628018172871e+00
5.315513738418383483e+00,7.911190493874576291e+00
5.318275870968660612e+00,2.314374627065144452e+01
6.344009585513211036e+00,2.282202930815291708e+01
8.494317940777895259e+00,2.219376791414538275e+01
7.244553248606352192e+00,1.706289277547195837e+01
6.110235106775828484e+00,1.603606807305570925e+01
7.224433825702215373e+00,1.375140115992066825e+01
3.229589138531782311e+00,7.420045057792751919e+00
3.617886556223140815e+00,1.456051896133043044e+01
2.282632308789556141e+00,-1.631525614238969801e+00
2.937140463888293418e+00,7.472479288509360273e+00
6.309761238544878026e+00,1.804318296076138139e+01
9.210493994507518156e-01,4.520463685243521823e+00
4.337011726795282129e+00,6.647844546821076506e+00
4.308627633296437942e+00,6.560804626605792222e+00
4.936850976503062149e+00,1.948795435354957561e+01
4.258302902958279290e+00,6.223111793314241247e+00
3.122612229724652799e+00,1.454978535585381394e+01
4.263513069628082519e+00,9.946956098527747869e+00
8.933891631171347214e+00,2.943371082943304629e+01
9.441600182038795808e+00,2.319860792807191885e+01
5.018366758843365361e+00,8.413560294026886766e+00
6.239529517921111434e+00,2.158159807677008857e+01
1.156183950792957216e+00,4.503503765831407435e+00
3.172854818203209248e+00,1.687501997213027849e+01
4.148262119536317627e+00,1.653165572452998333e+01
8.663091578833659767e+00,2.221059580236516595e+01
2.504553653965067017e+00,5.713046126597798313e+00
4.830342642627043048e+00,1.389271832300384979e+01
9.855597856107049637e+00,2.729004472956357219e+01
5.194851192598093803e+00,1.027838534783619018e+01
6.128945257629676568e+00,2.123206100919707495e+01
1.206286659903237357e+00,2.728899190706106204e+00
8.263408005068331619e+00,2.024338128690426331e+01
6.030601284109273763e+00,1.407306152341066863e+01
5.450680064664648938e+00,1.648178649837847942e+01
3.427638337743084129e+00,6.808832835753433343e+00
3.041207890271841130e+00,9.977870275631072872e+00
4.170222110247015834e+00,2.595857063112689644e+01
6.813007657927966143e+00,1.846447184446320477e+01
8.754568417951748671e+00,2.141639735338612738e+01
5.104223374780111122e+00,6.122112296210772797e+00
6.693137829622722634e+00,1.868395419787715284e+01
5.859365525622129312e+00,1.080225909780729232e+01
6.249035020955998831e+00,1.544479695753213377e+01
6.746890509878248565e+00,1.932526424293133616e+01
8.423424376202572006e+00,1.410361369139567245e+01
8.319498833243876845e-01,4.567188470303261916e+00
7.636828414433382228e+00,2.231464691321367866e+01
2.436663745368740308e+00,1.306159265088592925e+00
1.942229605787708646e+00,4.594028053823834945e+00
5.724569574914730730e+00,6.858092126397805188e+00
9.571251661238711073e-01,1.197031759452170618e+01
8.853268262751395667e+00,2.548598703962271372e+01
6.272489720512687050e+00,1.648328179638620838e+01
7.234163581899547779e+00,1.896822980146805904e+01
1.612920669501682891e-01,7.760448207704261137e+00
5.944318794450424548e+00,1.608996922652300654e+01
5.567851923942886749e+00,1.727371366623598092e+01
1.589596441447227448e+00,1.326713890544554353e+01
1.530705151247730988e+00,3.795927138108336596e+00
6.955295287709109431e+00,1.362506159673911021e+01
3.187664263818763555e+00,5.546657785778804417e+00
6.919702955318197013e+00,2.614257656049198530e+01
5.543832497177721308e+00,1.601672278551458817e+01
3.889505741231445768e+00,8.912107911730242193e+00
9.251324896139861309e+00,2.969653413934544872e+01
8.416699969127162007e+00,2.773153685120370682e+01
3.573975666831762155e+00,8.256700327547211060e+00
4.359146379904055291e-01,-2.069897590451239111e+00
3.047680734110974399e+00,1.466558829971385869e+00
3.981856819179809825e+00,2.685197443318338983e+00
7.049588304513622283e+00,1.799903850205406997e+01
9.953584820340173778e+00,2.211798231566647033e+01
3.559148657174595609e+00,1.989024369196741304e+01
7.625478137854337923e+00,2.105638411811096589e+01
5.931769165622212014e+00,6.818675197799729304e+00
6.917017987001771395e+00,2.608619134505474335e+01
1.511274523480802268e+00,6.286737855789983342e+00
3.988762927261565672e+00,1.519680472001943983e+01
2.408558977236245013e+00,1.113157132725766374e+01
3.434560140483249313e+00,1.176918318764081839e+01
5.131281541990021289e+00,1.714491700714776812e+01
